	Client ID	Receiving Income (Entry)	Income Source (Entry)	Monthly Amount (Entry)	Income Start Date (Entry)	Income End Date (Entry)	Provider (140-provider)_x	ReceivingIncome (Exit)	Source of Income (Exit)	Monthly Amount (Exit)	Income Start Date (Exit)	Income End Date (Exit)	Provider (140-provider)_y
123	231530	No	Alimony or Other Spousal Support (HUD)		8/13/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/13/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
124	409450	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
125	194903	No	Alimony or Other Spousal Support (HUD)		8/13/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/13/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
126	157272	No	Alimony or Other Spousal Support (HUD)		7/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		7/28/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
127	322709	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/13/2015		Urban Ministries of Durham - Durham County(1562)
128	409587	No	Alimony or Other Spousal Support (HUD)		8/26/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/26/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
129	3953	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
130	409686	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
131	207787	No	Alimony or Other Spousal Support (HUD)		3/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
132	157088	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
133	160586	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
134	300905	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
